Year,Platform,0
2000,PC,123
2000,DC,70
2000,PS,64
2000,PS2,40
2000,N64,22
2000,X360,8
2000,PS3,5
2000,Switch,4
2000,PSP,4
2000,XB,3
2000,WiiU,3
2000,GBA,2
2000,PS4,2
2000,Wii,2
2000,PSV,1
2000,DS,1
2001,PC,162
2001,PS2,140
2001,GBA,57
2001,DC,42
2001,PS,40
2001,XB,37
2001,GC,20
2001,X360,6
2001,N64,6
2001,PS3,6
2001,XOne,5
2001,PS4,5
2001,DS,4
2001,Switch,3
2001,Wii,3
2001,WiiU,1
2001,Xbox Series X,1
2001,PSP,1
2001,PSV,1
2001,3DS,1
2002,PS2,197
2002,PC,183
2002,XB,126
2002,GC,110
2002,GBA,99
2002,X360,10
2002,PS3,9
2002,DS,8
2002,PS4,8
2002,PS,7
2002,Switch,5
2002,Wii,5
2002,3DS,4
2002,XOne,4
2002,PSP,3
2002,DC,2
2002,WiiU,1
2003,PS2,198
2003,PC,190
2003,XB,165
2003,GC,102
2003,GBA,89
2003,X360,12
2003,Wii,9
2003,PS3,6
2003,DS,6
2003,PSP,4
2003,XOne,4
2003,PS,3
2003,PS4,3
2003,3DS,3
2003,Switch,2
2003,DC,2
2003,PSV,1
2003,Stadia,1
2003,N64,1
2004,PS2,200
2004,PC,161
2004,XB,145
2004,GC,74
2004,GBA,70
2004,X360,16
2004,DS,15
2004,PS4,10
2004,PS3,7
2004,PSP,5
2004,Switch,4
2004,Wii,4
2004,PS5,2
2004,PS,2
2004,PSV,1
2004,WiiU,1
2004,3DS,1
2004,DC,1
2004,N64,1
2005,PS2,193
2005,PC,172
2005,XB,155
2005,PSP,71
2005,GC,71
2005,DS,57
2005,X360,50
2005,GBA,49
2005,Wii,12
2005,PS4,9
2005,XOne,6
2005,PS3,4
2005,Switch,4
2005,PSV,2
2005,3DS,1
2005,DC,1
2006,PC,192
2006,PS2,155
2006,PSP,119
2006,X360,105
2006,DS,82
2006,XB,73
2006,Wii,36
2006,GC,35
2006,GBA,27
2006,PS3,26
2006,XOne,9
2006,PS4,9
2006,Switch,8
2006,3DS,5
2006,PS,2
2006,WiiU,2
2006,DC,1
2007,PC,173
2007,X360,159
2007,DS,140
2007,PS2,103
2007,Wii,96
2007,PS3,93
2007,PSP,92
2007,PS4,21
2007,XB,10
2007,XOne,9
2007,GBA,6
2007,Switch,4
2007,GC,4
2007,3DS,4
2007,WiiU,3
2007,PSV,2
2007,PS,1
2008,X360,182
2008,PC,167
2008,Wii,137
2008,PS3,135
2008,DS,133
2008,PS2,74
2008,PSP,43
2008,PS4,20
2008,XB,9
2008,GBA,9
2008,3DS,6
2008,Switch,5
2008,GC,4
2008,XOne,3
2008,WiiU,2
2008,PSV,1
2008,PS,1
2009,X360,206
2009,PC,196
2009,PS3,159
2009,Wii,147
2009,DS,118
2009,PSP,62
2009,PS2,26
2009,PS4,11
2009,Switch,9
2009,XOne,8
2009,XB,7
2009,GC,5
2009,GBA,3
2009,PS,2
2009,WiiU,1
2009,PSV,1
2009,3DS,1
2010,X360,218
2010,PS3,178
2010,PC,161
2010,Wii,101
2010,DS,69
2010,PSP,54
2010,PS4,14
2010,PS2,11
2010,XB,8
2010,Switch,5
2010,XOne,3
2010,GC,3
2010,3DS,2
2010,GBA,2
2010,DC,1
2010,WiiU,1
2010,PS,1
2010,PS5,1
2010,Xbox Series X,1
2011,X360,220
2011,PS3,217
2011,PC,192
2011,3DS,55
2011,Wii,48
2011,DS,40
2011,PSP,30
2011,PS4,13
2011,XB,12
2011,PS2,7
2011,GBA,5
2011,Switch,4
2011,XOne,4
2011,GC,4
2011,N64,2
2011,PSV,1
2011,PS5,1
2011,PS,1
2012,PC,208
2012,X360,198
2012,PS3,165
2012,PSV,62
2012,3DS,52
2012,WiiU,29
2012,DS,16
2012,Wii,15
2012,PS2,12
2012,PS4,9
2012,PSP,6
2012,XB,5
2012,GC,4
2012,Switch,4
2012,GBA,3
2012,N64,2
2012,DC,1
2012,XOne,1
2012,PS,1
2013,PC,273
2013,X360,130
2013,PS3,128
2013,3DS,58
2013,WiiU,42
2013,PSV,41
2013,PS4,27
2013,XOne,22
2013,PS2,8
2013,XB,6
2013,Wii,4
2013,PSP,4
2013,Switch,3
2013,GC,3
2013,GBA,3
2013,DS,3
2013,PS,1
2013,PS5,1
2014,PC,266
2014,PS4,131
2014,XOne,76
2014,PS3,66
2014,X360,59
2014,PSV,57
2014,3DS,50
2014,WiiU,42
2014,PS2,6
2014,DS,4
2014,Wii,4
2014,XB,4
2014,GBA,2
2014,Xbox Series X,1
2014,Switch,1
2014,GC,1
2014,DC,1
2015,PC,305
2015,PS4,226
2015,XOne,149
2015,3DS,48
2015,PSV,43
2015,WiiU,36
2015,PS3,18
2015,X360,8
2015,Wii,6
2015,DS,5
2015,PS2,4
2015,PSP,2
2015,XB,2
2015,Switch,2
2015,GBA,2
2016,PS4,325
2016,PC,317
2016,XOne,191
2016,3DS,49
2016,PSV,25
2016,WiiU,16
2016,X360,11
2016,PS3,9
2016,PS2,8
2016,XB,8
2016,Wii,6
2016,Switch,3
2016,DS,2
2016,GBA,2
2016,PSP,2
2016,PS,1
2016,GC,1
2016,DC,1
2017,PS4,337
2017,PC,288
2017,XOne,177
2017,Switch,166
2017,3DS,30
2017,PSV,12
2017,X360,8
2017,PS2,8
2017,XB,6
2017,Wii,4
2017,DS,4
2017,PS3,3
2017,PSP,3
2017,GC,1
2017,GBA,1
2017,PS,1
2017,WiiU,1
2018,Switch,333
2018,PS4,299
2018,PC,267
2018,XOne,180
2018,X360,15
2018,3DS,12
2018,PS3,8
2018,PS2,7
2018,Wii,6
2018,PSV,4
2018,XB,3
2018,PSP,3
2018,PS,3
2018,WiiU,2
2018,DS,1
2018,GBA,1
2018,GC,1
2019,Switch,306
2019,PC,264
2019,PS4,247
2019,XOne,151
2019,X360,8
2019,3DS,6
2019,PS2,5
2019,DS,4
2019,PS3,4
2019,GBA,3
2019,XB,3
2019,PSP,2
2019,PSV,2
2019,Wii,1
2019,WiiU,1
2019,GC,1
2019,PS,1
2020,Switch,315
2020,PC,306
2020,PS4,233
2020,XOne,142
2020,PS5,26
2020,Xbox Series X,17
2020,X360,8
2020,Wii,7
2020,PS2,6
2020,PS3,4
2020,Stadia,4
2020,3DS,3
2020,XB,2
2020,PSP,2
2020,DS,2
2020,GC,1
2020,PS,1
2020,GBA,1
2021,PC,236
2021,Switch,204
2021,PS4,93
2021,PS5,93
2021,Xbox Series X,56
2021,XOne,34
2021,X360,6
2021,DS,6
2021,PS2,5
2021,PS3,3
2021,GC,3
2021,3DS,2
2021,GBA,1
2021,Wii,1
